suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
small,matmul,primal,f64,system-accelerate,full,2x2,10,101,0.004042,0.000250,ok
small,einsum_ij_jk_ik,primal,f64,filtered,full,2x2,10,101,,,filtered
small,svd,primal,f64,filtered,full,2x2,10,101,,,filtered
small,qr,primal,f64,filtered,full,2x2,10,101,,,filtered
small,eigh,primal,f64,filtered,full,2x2,10,101,,,filtered
small,solve,primal,f64,filtered,full,"2x2,rhs=1",10,101,,,filtered
small,solve,primal,f64,filtered,full,"2x2,rhs=4",10,101,,,filtered
small,grad_sum_matmul,backward,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_svd_s,backward,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_solve,backward,f64,filtered,full,"2x2,rhs=1",10,101,,,filtered
small,matmul,primal,f64,system-accelerate,full,4x4,10,101,0.004250,0.000291,ok
small,einsum_ij_jk_ik,primal,f64,filtered,full,4x4,10,101,,,filtered
small,svd,primal,f64,filtered,full,4x4,10,101,,,filtered
small,qr,primal,f64,filtered,full,4x4,10,101,,,filtered
small,eigh,primal,f64,filtered,full,4x4,10,101,,,filtered
small,solve,primal,f64,filtered,full,"4x4,rhs=1",10,101,,,filtered
small,solve,primal,f64,filtered,full,"4x4,rhs=4",10,101,,,filtered
small,grad_sum_matmul,backward,f64,filtered,full,4x4,10,101,,,filtered
small,grad_sum_svd_s,backward,f64,filtered,full,4x4,10,101,,,filtered
small,grad_sum_solve,backward,f64,filtered,full,"4x4,rhs=1",10,101,,,filtered
small,matmul,primal,f64,system-accelerate,full,8x8,10,101,0.004375,0.000208,ok
small,einsum_ij_jk_ik,primal,f64,filtered,full,8x8,10,101,,,filtered
small,svd,primal,f64,filtered,full,8x8,10,101,,,filtered
small,qr,primal,f64,filtered,full,8x8,10,101,,,filtered
small,eigh,primal,f64,filtered,full,8x8,10,101,,,filtered
small,solve,primal,f64,filtered,full,"8x8,rhs=1",10,101,,,filtered
small,solve,primal,f64,filtered,full,"8x8,rhs=4",10,101,,,filtered
small,grad_sum_matmul,backward,f64,filtered,full,8x8,10,101,,,filtered
small,grad_sum_svd_s,backward,f64,filtered,full,8x8,10,101,,,filtered
small,grad_sum_solve,backward,f64,filtered,full,"8x8,rhs=1",10,101,,,filtered
small,matmul,primal,f64,system-accelerate,full,16x16,10,101,0.004916,0.000083,ok
small,einsum_ij_jk_ik,primal,f64,filtered,full,16x16,10,101,,,filtered
small,svd,primal,f64,filtered,full,16x16,10,101,,,filtered
small,qr,primal,f64,filtered,full,16x16,10,101,,,filtered
small,eigh,primal,f64,filtered,full,16x16,10,101,,,filtered
small,solve,primal,f64,filtered,full,"16x16,rhs=1",10,101,,,filtered
small,solve,primal,f64,filtered,full,"16x16,rhs=4",10,101,,,filtered
small,grad_sum_matmul,backward,f64,filtered,full,16x16,10,101,,,filtered
small,grad_sum_svd_s,backward,f64,filtered,full,16x16,10,101,,,filtered
small,grad_sum_solve,backward,f64,filtered,full,"16x16,rhs=1",10,101,,,filtered
small,matmul,primal,f64,system-accelerate,full,32x32,10,101,0.005583,0.000125,ok
small,einsum_ij_jk_ik,primal,f64,filtered,full,32x32,10,101,,,filtered
small,svd,primal,f64,filtered,full,32x32,10,101,,,filtered
small,qr,primal,f64,filtered,full,32x32,10,101,,,filtered
small,eigh,primal,f64,filtered,full,32x32,10,101,,,filtered
small,solve,primal,f64,filtered,full,"32x32,rhs=1",10,101,,,filtered
small,solve,primal,f64,filtered,full,"32x32,rhs=4",10,101,,,filtered
small,grad_sum_matmul,backward,f64,filtered,full,32x32,10,101,,,filtered
small,grad_sum_svd_s,backward,f64,filtered,full,32x32,10,101,,,filtered
small,grad_sum_solve,backward,f64,filtered,full,"32x32,rhs=1",10,101,,,filtered
small,matmul,primal,f64,tenferro-trace,full,2x2,10,101,0.014125,0.000375,ok
small,einsum_ij_jk_ik,primal,f64,filtered,full,2x2,10,101,,,filtered
small,svd,primal,f64,filtered,full,2x2,10,101,,,filtered
small,qr,primal,f64,filtered,full,2x2,10,101,,,filtered
small,eigh,primal,f64,filtered,full,2x2,10,101,,,filtered
small,solve,primal,f64,filtered,full,"2x2,rhs=1",10,101,,,filtered
small,solve,primal,f64,filtered,full,"2x2,rhs=4",10,101,,,filtered
small,grad_sum_matmul,backward,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_svd_s,backward,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_solve,backward,f64,filtered,full,"2x2,rhs=1",10,101,,,filtered
small,grad_sum_svd_s,jvp,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_svd_s,vjp,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_qr,jvp,f64,tenferro-trace,full,2x2,10,101,0.147708,0.002208,ok
small,grad_sum_qr,vjp,f64,tenferro-trace,full,2x2,10,101,0.175625,0.005208,ok
small,grad_sum_eigh,jvp,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_eigh,vjp,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_lu,jvp,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_lu,vjp,f64,filtered,full,2x2,10,101,,,filtered
small,grad_sum_solve,jvp,f64,filtered,full,"2x2,rhs=1",10,101,,,filtered
small,grad_sum_solve,vjp,f64,filtered,full,"2x2,rhs=1",10,101,,,filtered
small,matmul,primal,f64,tenferro-trace,full,4x4,10,101,0.014250,0.000167,ok
small,einsum_ij_jk_ik,primal,f64,filtered,full,4x4,10,101,,,filtered
small,svd,primal,f64,filtered,full,4x4,10,101,,,filtered
